ID IMDB;IDENTITE;DATE NAISSANCE;LIEU NAISSANCE;URL
nm1231899;Priyanka Chopra Jonas;18/07/1982;Jamshedpur, Bihar, India;/name/nm1231899?ref_=tt_cl_t_2
nm0695435;Chris Pratt;21/06/1979;Virginia, Minnesota, USA;/name/nm0695435?ref_=tt_cl_t_1
nm5611121;Millie Bobby Brown;19/02/2004;Málaga, Andalucía, Spain;/name/nm5611121?ref_=tt_cl_t_1
nm0000168;Samuel L. Jackson;21/12/1948;Washington D.C., USA;/name/nm0000168?ref_=tt_cl_t_2
nm8883627;Reinaldo Faberlle;;;/name/nm8883627?ref_=tt_cl_t_17
nm4456672;Nico Santos;07/04/1979;Manila, Philippines;/name/nm4456672?ref_=tt_cl_t_15
nm13086668;Olive Raine Cleope;;;/name/nm13086668?ref_=tt_cl_t_18
nm0757855;Zoe Saldana;19/06/1978;Passaic, New Jersey, USA;/name/nm0757855?ref_=tt_cl_t_2
nm4456120;Elizabeth Debicki;24/08/1990;Paris, France;/name/nm4456120?ref_=tt_cl_t_10
nm0177896;Bradley Cooper;05/01/1975;Philadelphia, Pennsylvania, USA;/name/nm0177896?ref_=tt_cl_t_5
nm6403016;Daniela Melchior;01/11/1996;Almada, Portugal;/name/nm6403016?ref_=tt_cl_t_12
nm2401020;Will Poulter;28/01/1993;England, UK;/name/nm2401020?ref_=tt_cl_t_6
nm1030244;Chukwudi Iwuji;1975-0-0;Nigeria;/name/nm1030244?ref_=tt_cl_t_13
nm0348231;Sean Gunn;22/05/1974;St. Louis, Missouri, USA;/name/nm0348231?ref_=tt_cl_t_11
nm0000230;Sylvester Stallone;06/07/1946;New York City, New York, USA;/name/nm0000230?ref_=tt_cl_t_9
nm0004874;Vin Diesel;18/07/1967;Alameda County, California, USA;/name/nm0004874?ref_=tt_cl_t_4
nm2394794;Karen Gillan;28/11/1987;Inverness, Scotland, UK;/name/nm2394794?ref_=tt_cl_t_7
nm1176985;Dave Bautista;18/01/1969;Washington, District of Columbia, USA;/name/nm1176985?ref_=tt_cl_t_3
nm7210025;Maria Bakalova;04/06/1996;Burgas, Bulgaria;/name/nm7210025?ref_=tt_cl_t_14
nm0002888;Stephen Blackehart;01/12/1967;New York City, New York, USA;/name/nm0002888?ref_=tt_cl_t_16
nm2962353;Pom Klementieff;03/05/1986;Quebec City, Quebec, Canada;/name/nm2962353?ref_=tt_cl_t_8
nm1724319;Sebastian Maniscalco;08/07/1973;Chicago, Illinois, USA;/name/nm1724319?ref_=tt_cl_t_9
nm5896355;Anya Taylor-Joy;16/04/1996;Miami, Florida, USA;/name/nm5896355?ref_=tt_cl_t_2
nm0553409;Charles Martinet;17/09/1955;San Jose, California, USA;/name/nm0553409?ref_=tt_cl_t_10
nm1221047;Keegan-Michael Key;22/03/1971;Southfield, Michigan, USA;/name/nm1221047?ref_=tt_cl_t_5
