ID;IDENTITE;DATE NAISSANCE;LIEU NAISSANCE;URL;
nm0348181;James Gunn;August 5 1966 ;St. Louis, Missouri, USA ;/name/nm0348181/?ref_=tt_ov_dr;
nm3821363;Matthew Fogel;;;/name/nm3821363/?ref_=tt_ov_wr;
nm0169806;Taika Waititi;August 16 1975 ;Wellington, New Zealand ;/name/nm0169806/?ref_=tt_ov_dr;
nm2219807;Steve Spiegel;;;/name/nm2219807/?ref_=tt_ov_wr;
nm1119880;Colin Trevorrow;September 13 1976 ;San Francisco, California, USA ;/name/nm1119880/?ref_=tt_ov_dr;
nm0003021;Chris McKay;November 11 1973 ;Winter Park, Florida, USA ;/name/nm0003021/?ref_=tt_ov_dr;
nm4043618;Tom Holland;June 1 1996 ;Kingston upon Thames, England, UK ;/name/nm4043618/?ref_=tt_ov_st;
nm0695435;Chris Pratt;June 21 1979 ;Virginia, Minnesota, USA ;/name/nm0695435/?ref_=tt_ov_st;
nm0768959;Dan Scanlon;June 21 1976 ;Michigan, USA ;/name/nm0768959/?ref_=tt_ov_dr;
nm1632389;Chris Waitt;1975 ;UK ;/name/nm1632389/?ref_=tt_ov_dr;
nm11646878;Ben West;;;/name/nm11646878/?ref_=tt_ov_dr;
nm11656878;Ben West;;;/name/nm11656878/?ref_=tt_ov_dr;
nm0751577;Anthony Russo;February 3 1970 ;Cleveland, Ohio, USA ;/name/nm0751577/?ref_=tt_ov_dr;
nm0751648;Joe Russo;July 8 1971 ;Cleveland, Ohio, USA ;/name/nm0751648/?ref_=tt_ov_dr;
nm0000352;Vincent D'Onofrio;June 30 1959 ;Brooklyn, New York City, New York, USA ;/name/nm0000352/?ref_=tt_ov_dr;
nm0593610;Mike Mitchell;October 18 1970 ;Oklahoma City, Oklahoma, USA ;/name/nm0593610/?ref_=tt_ov_dr;
nm4804442;Nia DaCosta;November 8 1989 ;;/name/nm4804442/?ref_=tt_ov_dr;
nm0660098;Nicol Paone;March 11 ;New Jersey, USA ;/name/nm0660098/?ref_=tt_ov_dr;
nm0047193;Chris Bailey;March 26 1962 ;Portland, Oregon, USA ;/name/nm0047193/?ref_=tt_ov_dr;
nm0462988;Mark Koetsier;;;/name/nm0462988/?ref_=tt_ov_dr;
nm0591450;Rob Minkoff;August 11 1962 ;Palo Alto, California, USA ;/name/nm0591450/?ref_=tt_ov_dr;
nm0132709;Martin Campbell;October 24 1943 ;Hastings, New Zealand ;/name/nm0132709/?ref_=tt_ov_dr;
nm0400850;Patrick Hughes;;;/name/nm0400850/?ref_=tt_ov_dr;
nm1135423;Darren Lynn Bousman;January 11 1979 ;Overland Park, Kansas, USA ;/name/nm1135423/?ref_=tt_ov_dr;
nm2667446;Al Campbell;;;/name/nm2667446/?ref_=tt_ov_dr;
nm3634291;Alice Mathias;;;/name/nm3634291/?ref_=tt_ov_dr;
nm1519252;Bryan Buckley;September 3 1963 ;Sudbury, Massachusetts, USA ;/name/nm1519252/?ref_=tt_ov_dr;
nm1079776;George Nolfi;;;/name/nm1079776/?ref_=tt_ov_dr;
nm0000217;Martin Scorsese;November 17 1942 ;Queens, New York City, New York, USA ;/name/nm0000217/?ref_=tt_ov_dr;
nm0570912;Adam McKay;April 17 1968 ;Philadelphia, Pennsylvania, USA ;/name/nm0570912/?ref_=tt_ov_dr;
nm0000233;Quentin Tarantino;March 27 1963 ;Knoxville, Tennessee, USA ;/name/nm0000233/?ref_=tt_ov_dr;
nm5266022;Federico Heller;June 18 1983 ;Buenos Aires, Federal District, Argentina ;/name/nm5266022/?ref_=tt_ov_dr;
nm3175117;Nigel W. Tierney;June 6 1983 ;Kilkenny, County Kilkenny, Ireland ;/name/nm3175117/?ref_=tt_ov_dr;
nm0327944;Alejandro G. Iñárritu;August 15 1963 ;Mexico City, Distrito Federal, Mexico ;/name/nm0327944/?ref_=tt_ov_dr;
nm0525303;Baz Luhrmann;September 17 1962 ;New South Wales, Australia ;/name/nm0525303/?ref_=tt_ov_dr;
nm0000116;James Cameron;August 16 1954 ;Kapuskasing, Ontario, Canada ;/name/nm0000116/?ref_=tt_ov_dr;
nm0000142;Clint Eastwood;May 31 1930 ;San Francisco, California, USA ;/name/nm0000142/?ref_=tt_ov_dr;
nm1053991;Ian Kirby;1981 ;Vancouver, British Columbia, Canada ;/name/nm1053991/?ref_=tt_ov_dr;
nm0634240;Christopher Nolan;July 30 1970 ;London, England, UK ;/name/nm0634240/?ref_=tt_ov_dr;
nm0005222;Sam Mendes;August 1 1965 ;Reading, Berkshire, England, UK ;/name/nm0005222/?ref_=tt_ov_dr;
nm0177896;Bradley Cooper;January 5 1975 ;Philadelphia, Pennsylvania, USA ;/name/nm0177896/?ref_=tt_ov_dr;
nm0197855;John Francis Daley;July 20 1985 ;Wheeling, Illinois, USA ;/name/nm0197855/?ref_=tt_ov_dr;
nm0326246;Jonathan Goldstein;September 2 1968 ;New York City, New York, USA ;/name/nm0326246/?ref_=tt_ov_dr;
nm0868219;Guillermo del Toro;October 9 1964 ;Guadalajara, Jalisco, Mexico ;/name/nm0868219/?ref_=tt_ov_dr;
nm0000759;Paul Thomas Anderson;June 26 1970 ;Studio City, California, USA ;/name/nm0000759/?ref_=tt_ov_dr;
nm0680846;Todd Phillips;December 20 1970 ;Brooklyn, New York City, New York, USA ;/name/nm0680846/?ref_=tt_ov_dr;
nm3984627;Andrew Donoho;;;/name/nm3984627/?ref_=tt_ov_dr;
nm0504642;Louis Leterrier;June 17 1973 ;Paris, France ;/name/nm0504642/?ref_=tt_ov_dr;
nm1710168;Jesse Rapczak;;;/name/nm1710168/?ref_=tt_ov_dr;
nm5084018;Jeremy Stieglitz;;;/name/nm5084018/?ref_=tt_ov_dr;
nm0510912;Justin Lin;October 11 1971 ;Taipei, Taiwan ;/name/nm0510912/?ref_=tt_ov_dr;
nm3821020;Ian Bell;;;/name/nm3821020/?ref_=tt_ov_dr;
nm1702145;Dave Wilson;;;/name/nm1702145/?ref_=tt_ov_dr;
nm1601882;Phil Johnston;October 26 1971 ;Hennepin County, Minnesota, USA ;/name/nm1601882/?ref_=tt_ov_dr;
nm0601781;Rich Moore;May 10 1963 ;Oxnard, California, USA ;/name/nm0601781/?ref_=tt_ov_dr;
nm0085312;Jack Black;August 28 1969 ;Santa Monica, California, USA ;/name/nm0085312/?ref_=tt_ov_st;
nm0309307;Kyle Gass;July 14 1960 ;Walnut Creek, California, USA ;/name/nm0309307/?ref_=tt_ov_st;
nm1627732;Tenacious D;;;/name/nm1627732/?ref_=tt_ov_st;
nm6600275;Adam Paloian;September 9 1991 ;Cold Spring Harbor, New York, USA ;/name/nm6600275/?ref_=tt_ov_dr;
nm3488144;Olov Burman;;;/name/nm3488144/?ref_=tt_ov_dr;
nm9420496;Cole Bennett;;;/name/nm9420496/?ref_=tt_ov_dr;
nm1569897;Dimitri Coats;;;/name/nm1569897/?ref_=tt_ov_dr;
nm1926903;Eric Appel;August 13 1980 ;Endicott, New York, USA ;/name/nm1926903/?ref_=tt_ov_dr;
nm0000500;Richard Linklater;July 30 1960 ;Houston, Texas, USA ;/name/nm0000500/?ref_=tt_ov_dr;
nm0769796;Tim Schafer;July 26 1967 ;;/name/nm0769796/?ref_=tt_ov_dr;
nm0004937;Jamie Foxx;December 13 1967 ;Terrell, Texas, USA ;/name/nm0004937/?ref_=tt_ov_dr;
nm0300866;Stephen Gaghan;May 6 1965 ;Louisville, Kentucky, USA ;/name/nm0300866/?ref_=tt_ov_dr;
