FILM;ID ACTEUR;
tt1801045;nm1231899;
tt1801045;nm0695435;
tt7766378;nm5611121;
tt7766378;nm0695435;
tt5779228;nm0000168;
tt5779228;nm0695435;
tt6791350;nm0695435;
tt6791350;nm1176985;
tt6791350;nm0757855;
tt13623136;nm0348231;
tt13623136;nm2394794;
tt13623136;nm0695435;
tt11743610;nm2090422;
tt11743610;nm2018237;
tt11743610;nm0695435;
tt10648342;nm0000288;
tt10648342;nm1165110;
tt10648342;nm0000204;
tt8041270;nm0000368;
tt8041270;nm0695435;
tt8041270;nm0397171;
tt9777666;nm0799777;
tt9777666;nm0695435;
tt9777666;nm2088803;
tt13976074;nm4043618;
tt13976074;nm0695435;
tt11570434;nm0397171;
tt11570434;nm0695435;
tt11570434;nm0000703;
tt4154796;nm0749263;
tt4154796;nm0000375;
tt4154796;nm0262635;
tt4975920;nm8868767;
tt4975920;nm5772354;
tt4975920;nm0695435;
tt4881806;nm1245863;
tt4881806;nm0695435;
tt4881806;nm0397171;
tt4154756;nm1165110;
tt4154756;nm0749263;
tt4154756;nm0000375;
tt10800876;nm3965748;
tt10800876;nm0695435;
tt10800876;nm0397171;
tt7131308;nm0001327;
tt7131308;nm0695435;
tt7131308;nm1176985;
tt3896198;nm0695435;
tt3896198;nm1176985;
tt3896198;nm0757855;
tt2660806;nm0448252;
tt2660806;nm0005049;
tt2660806;nm0267506;
tt1355644;nm2225369;
tt1355644;nm0695435;
tt1355644;nm0790688;
tt2404435;nm0000243;
tt2404435;nm0000160;
tt2404435;nm0695435;
tt3614530;nm2874427;
tt3614530;nm4563780;
tt3614530;nm2640887;
tt9881938;nm3324982;
tt9881938;nm3080722;
tt9881938;nm0860380;
tt0369610;nm0695435;
tt0369610;nm0397171;
tt0369610;nm1339223;
tt1266020;nm0688132;
tt1266020;nm0641389;
tt1266020;nm0644406;
tt4311010;nm0688132;
tt4311010;nm2201555;
tt4311010;nm0644406;
tt3502544;nm0000279;
tt3502544;nm0051469;
tt3502544;nm0006969;
tt2387559;nm1130627;
tt2387559;nm0000681;
tt2387559;nm0695435;
tt2611482;nm0734442;
tt2611482;nm0695435;
tt2611482;nm0298281;
tt1333125;nm0000152;
tt1333125;nm0580351;
tt1333125;nm1297015;
tt1790885;nm1567113;
tt1790885;nm0249291;
tt1790885;nm0695435;
tt2691394;nm0429069;
tt2691394;nm0000507;
tt2691394;nm2106637;
tt1195478;nm1289434;
tt1195478;nm0695435;
tt1195478;nm0781981;
tt2203947;nm1959860;
tt2203947;nm4687747;
tt2203947;nm0695435;
tt2138881;nm0688132;
tt2138881;nm2201555;
tt2138881;nm0695435;
tt0770703;nm0310966;
tt0770703;nm0262635;
tt0770703;nm0267506;
tt1715873;nm1475594;
tt1715873;nm0695435;
tt1715873;nm0206257;
tt1210166;nm0000093;
tt1210166;nm1706767;
tt1210166;nm0000705;
tt1622696;nm0523180;
tt1622696;nm0048389;
tt1622696;nm0424534;
tt0810922;nm0283945;
tt0810922;nm0267506;
tt0810922;nm0333410;
tt4462324;nm0000535;
tt4462324;nm0796124;
tt4462324;nm0267506;
tt1131734;nm1086543;
tt1131734;nm1083271;
tt1131734;nm0111013;
tt1078885;nm0385639;
tt1078885;nm0004790;
tt1078885;nm0695435;
tt0901476;nm0005028;
tt0901476;nm0004266;
tt0901476;nm0000298;
tt0493464;nm0001401;
tt0493464;nm0000151;
tt0493464;nm0564215;
tt0800268;nm0469823;
tt0800268;nm1157048;
tt0800268;nm0860380;
tt0398417;nm0754513;
