FILM;ID ACTEUR;PERSONNAGE;
tt1801045;nm1231899;;
tt1801045;nm0695435;Duncan;
tt7766378;nm5611121;;
tt7766378;nm0695435;;
tt5779228;nm0000168;Vic;
tt5779228;nm0695435;Garfield;
tt6791350;nm8883627;Behemoth;
tt6791350;nm4456672;;
tt6791350;nm13086668;Star Kid;
tt6791350;nm0757855;Gamora;
tt6791350;nm4456120;Ayesha;
tt6791350;nm0177896;Rocket;
tt6791350;nm6403016;;
tt6791350;nm2401020;Adam Warlock;
tt6791350;nm1030244;;
tt6791350;nm0348231;Kraglin;
tt6791350;nm0000230;Stakar Ogord;
tt6791350;nm0004874;Groot;
tt6791350;nm2394794;Nebula;
tt6791350;nm0695435;Peter Quill;
tt6791350;nm1176985;Drax;
tt6791350;nm7210025;;
tt6791350;nm0002888;;
tt6791350;nm2962353;Mantis;
tt6718170;nm1724319;Spike;
tt6718170;nm5896355;Princess Peach;
tt6718170;nm0553409;;
tt6718170;nm1221047;Toad;
tt6718170;nm0085312;Bowser;
tt6718170;nm0736622;Donkey Kong;
tt6718170;nm0724656;Kamek;
tt6718170;nm0695435;Mario;
tt6718170;nm0206359;Luigi;
tt6718170;nm0035488;Cranky Kong;
tt13623136;nm0348231;Kraglin;
tt13623136;nm0608781;Santa Claus;
tt13623136;nm0004874;Groot;
tt13623136;nm2394794;Nebula;
tt13623136;nm0695435;Peter Quill;
tt13623136;nm1176985;Drax;
tt13623136;nm0757855;;
tt13623136;nm0002888;;
tt13623136;nm0177896;Rocket Raccoon;
tt13623136;nm2962353;Mantis;
tt11743610;nm7335799;Liz Riley;
tt11743610;nm7725286;Ernest 'Boozer' Vickers;
tt11743610;nm2090422;Katie Buranek;
tt11743610;nm1013218;JAG Captain Howard;
tt11743610;nm7750444;Lucy Reece;
tt11743610;nm2018237;Ben Edwards;
tt11743610;nm1238555;Tony Layun;
tt11743610;nm0000675;Secretary Hartley;
tt11743610;nm0896292;Mac Wilson;
tt11743610;nm0005204;Mike Tedesco;
tt11743610;nm1212071;Richard Fontana;
tt11743610;nm2541974;Steve Horn;
tt11743610;nm2142336;Lauren Reece;
tt11743610;nm1206818;Commander Bill Cox;
tt11743610;nm6481846;Junior Alba;
tt11743610;nm6951875;Nicole Deptula;
tt11743610;nm0157915;Admiral Gerald Pillar;
tt11743610;nm0695435;James Reece;
tt10648342;nm0000288;Gorr;
tt10648342;nm1165110;Thor;
tt10648342;nm1526352;Sif;
tt10648342;nm12281779;Asgardian Stagehand;
tt10648342;nm1229520;Asgardian Stage Manager;
tt10648342;nm0000204;Jane Foster;
tt10648342;nm0000128;Zeus;
tt10648342;nm0177896;Rocket;
tt10648342;nm5415372;Miek;
tt10648342;nm1935086;King Valkyrie;
tt10648342;nm6296226;Asgardian Stagehand;
tt10648342;nm0348231;Kraglin;
tt10648342;nm0169806;Korg;
tt10648342;nm0004874;Groot;
tt10648342;nm2394794;Nebula;
tt10648342;nm0695435;Peter Quill;
tt10648342;nm1176985;Drax;
tt10648342;nm2962353;Mantis;
tt8041270;nm1082477;Barry Sembène;
tt8041270;nm9830820;Maisie Lockwood;
tt8041270;nm0000554;Alan Grant;
tt8041270;nm0000156;Ian Malcolm;
tt8041270;nm6819854;Franklin Webb;
tt8041270;nm6974206;Ramsay Cole;
tt8041270;nm4427331;Dr. Zia Rodriguez;
tt8041270;nm1986622;Kayla Watts;
tt8041270;nm1119340;Wyatt Huntley;
tt8041270;nm2821397;Denise Roberts;
tt8041270;nm2020278;Rainn Delacourt;
tt8041270;nm11016259;Jeremy Bernier;
tt8041270;nm0000368;Ellie Sattler;
tt8041270;nm0001714;Lewis Dodgson;
tt8041270;nm0695435;Owen Grady;
tt8041270;nm0397171;Claire Dearing;
tt8041270;nm0000703;Dr. Henry Wu;
tt8041270;nm1901842;Soyona Santos;
tt9777666;nm1296223;Dodd;
tt9777666;nm7725286;Tank;
tt9777666;nm0388064;Dorian;
tt9777666;nm0799777;James Forester;
tt9777666;nm5469428;Major Greenwood;
tt9777666;nm3931538;Charlie;
tt9777666;nm2088803;Colonel Muri Forester;
tt9777666;nm2081175;Cowan;
tt9777666;nm2437267;Sgt. Diaz;
tt9777666;nm7852347;Lt. Tran;
tt9777666;nm8567129;Lt. Hart;
tt9777666;nm6951875;Diablo;
tt9777666;nm8740834;Young Muri Forester;
tt9777666;nm0707476;Norah;
tt9777666;nm9858049;Lt. Ikemba;
tt9777666;nm2107704;Rose;
tt9777666;nm0695435;Dan Forester;
tt9777666;nm2365811;Emmy Forester;
tt13976074;nm4043618;Ian Lightfoot;
tt13976074;nm0695435;Barley Lightfoot;
tt7146812;nm0000506;Laurel Lightfoot;
tt7146812;nm6144523;Officer Avel;
tt7146812;nm0217221;Dewdrop (Pixie Dusters Leader);
tt7146812;nm0735440;Colt Bronco;
tt7146812;nm4399227;Officer Gore;
tt7146812;nm0001652;Construction Worker Fenwick;
tt7146812;nm1531180;Wilden Lightfoot (Dad);
tt7146812;nm2913119;Officer Spector;
tt7146812;nm4043618;Ian Lightfoot;
tt7146812;nm0818055;The Manticore;
tt7146812;nm0695435;Barley Lightfoot;
tt7146812;nm0005519;Gaxton (College Friend);
tt7146812;nm0001808;Grecklin (Pawn Shop Owner);
tt11570434;nm0397171;Claire Dearing;
tt11570434;nm0695435;Owen Grady;
tt11570434;nm0000703;Dr. Wu;
tt4154796;nm1165110;Thor;
tt4154796;nm0000332;James Rhodes;
tt4154796;nm1569276;T'Challa;
tt4154796;nm0000623;Frigga;
tt4154796;nm0647634;Wanda Maximoff;
tt4154796;nm0424060;Natasha Romanoff;
tt4154796;nm0757855;Gamora;
tt4154796;nm1935086;Valkyrie;
tt4154796;nm0749263;Bruce Banner;
tt4154796;nm0719637;Clint Barton;
tt4154796;nm0000375;Tony Stark;
tt4154796;nm1431940;Hope Van Dyne;
tt4154796;nm0748620;Scott Lang;
tt4154796;nm0262635;Steve Rogers;
tt4154796;nm4043618;Peter Parker;
tt4154796;nm2394794;Nebula;
tt4154796;nm0488953;Carol Danvers;
tt4154796;nm1212722;Doctor Strange;
tt4975920;nm1324884;Bill Cutler;
tt4975920;nm3584890;Billy Wilson;
tt4975920;nm5921082;Jim East;
tt4975920;nm5772354;Sara Cutler;
tt4975920;nm2851530;Billy 'The Kid' Bonney;
tt4975920;nm0000160;Sheriff Pat Garrett;
tt4975920;nm0195842;Oran Moler;
tt4975920;nm3856319;Charlie Bowdre;
tt4975920;nm0000352;Sheriff Romero;
tt4975920;nm8868767;Rio Cutler;
tt4975920;nm0802019;Cricket (a.k.a. Whore);
tt4975920;nm7240335;Tom Pickett;
tt4975920;nm1216220;Dave Rudabaugh;
tt4975920;nm1017206;Mirabel;
tt4975920;nm3520036;Manuela;
tt4975920;nm0695435;Grant Cutler;
tt4975920;nm6232017;Paulita Maxwell;
tt4975920;nm6590594;First Reporter;
tt11557906;nm0004715;Batman;
tt11557906;nm3715867;Sweet Mayhem;
tt11557906;nm0695435;Emmet Brickowski;
tt11557906;nm0001122;Self - Host;
tt11557906;nm0006969;Lucy;
tt3513498;nm0002071;President Business;
tt3513498;nm1475594;Superman;
tt3513498;nm1840504;Queen Watevra Wa'Nabi;
tt3513498;nm1547964;Ice Cream Cone;
tt3513498;nm1555340;Unikitty;
tt3513498;nm3338018;Finn;
tt3513498;nm7737419;Bianca;
tt3513498;nm0748973;Mom;
tt3513498;nm2355635;Banarnar;
tt3513498;nm3715867;General Mayhem;
tt3513498;nm0006969;Wyldstyle;
tt3513498;nm0276161;Balthazar;
tt3513498;nm1706767;Green Lantern;
tt3513498;nm0004715;Batman;
tt3513498;nm0695435;Emmet Brickowski;
tt3513498;nm0206359;Benny;
tt3513498;nm0597388;Aquaman;
tt3513498;nm0644406;MetalBeard;
tt9410240;nm1840504;Queen Watevra Wa'Nabi;
tt9410240;nm1555340;Unikitty;
tt9410240;nm0004715;Batman;
tt9410240;nm3715867;Sweet Mayhem;
tt9410240;nm0206359;Benny;
tt9410240;nm0695435;Emmet Brickowski;
tt9410240;nm0006969;Lucy;
tt9410240;nm0003944;Alfred Pennyworth;
tt9410240;nm0644406;Metal Beard;
tt4881806;nm0505971;Ken Wheatley;
tt4881806;nm0429363;Mr. Eversoll;
tt4881806;nm0714866;Helicopter Pilot;
tt4881806;nm4826554;Lead Mercenary;
tt4881806;nm0419273;Senator Sherwood;
tt4881806;nm9830820;Maisie Lockwood;
